Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2024-07-22,15670271,12258612,3411659,2,"8591.T:494, 8001.T:222"
2024-07-23,15687250,12258612,3428638,2,"8591.T:494, 8001.T:222"
2024-07-24,15635139,13946491,1688647,1,8591.T:494
2024-07-25,15588141,13946491,1641650,1,8591.T:494
2024-07-26,15584419,13946491,1637927,1,8591.T:494
2024-07-29,15610942,13946491,1664451,1,8591.T:494
2024-07-30,15622110,13946491,1675618,1,8591.T:494
2024-07-31,15651425,11161410,4490015,2,"8591.T:494, 7751.T:608"
2024-08-01,15449410,13836610,1612800,1,8591.T:494
2024-08-02,15368010,15368010,0,0,
2024-08-05,15368010,15368010,0,0,
2024-08-06,15368010,15368010,0,0,
2024-08-07,15368010,15368010,0,0,
2024-08-08,15368010,15368010,0,0,
2024-08-09,15368010,15368010,0,0,
2024-08-13,15368010,15368010,0,0,
2024-08-14,15368010,15368010,0,0,
2024-08-15,15368010,15368010,0,0,
2024-08-16,15368010,9227181,6140828,2,"6857.T:464, 7013.T:3766"
2024-08-19,15255205,7383204,7872000,3,"6857.T:464, 7013.T:3766, 3382.T:880"
2024-08-20,15240705,7340932,7899773,3,"6857.T:464, 7013.T:3766, 9983.T:41"
2024-08-21,15059632,9104782,5954850,3,"6857.T:464, 9983.T:41, 8267.T:1000"
2024-08-22,15161343,9104782,6056561,3,"6857.T:464, 9983.T:41, 8267.T:1000"
2024-08-23,15104106,9104782,5999324,3,"6857.T:464, 9983.T:41, 8267.T:1000"
2024-08-26,15107085,12006011,3101073,2,"9983.T:41, 8267.T:1000"
2024-08-27,15108449,12006011,3102438,2,"9983.T:41, 8267.T:1000"
2024-08-28,15082365,12006011,3076354,2,"9983.T:41, 8267.T:1000"
2024-08-29,15111935,12006011,3105924,2,"9983.T:41, 8267.T:1000"
2024-08-30,15094664,12006011,3088652,2,"9983.T:41, 8267.T:1000"
2024-09-02,15095330,12006011,3089318,2,"9983.T:41, 8267.T:1000"
2024-09-03,15108377,9605561,5502816,3,"9983.T:41, 8267.T:1000, 3382.T:1110"
2024-09-04,15058968,9605561,5453407,3,"9983.T:41, 8267.T:1000, 3382.T:1110"
2024-09-05,14972411,9605561,5366850,3,"9983.T:41, 8267.T:1000, 3382.T:1110"
2024-09-06,14971150,9605561,5365589,3,"9983.T:41, 8267.T:1000, 3382.T:1110"
2024-09-09,14950660,10061670,4888989,2,"3382.T:1110, 8267.T:1988"
2024-09-10,14991070,10061670,4929399,2,"3382.T:1110, 8267.T:1988"
2024-09-11,14857214,10061670,4795544,2,"3382.T:1110, 8267.T:1988"
2024-09-12,15019109,10061670,4957438,2,"3382.T:1110, 8267.T:1988"
2024-09-13,14994759,10061670,4933088,2,"3382.T:1110, 8267.T:1988"
2024-09-17,15026802,8051592,6975209,3,"3382.T:1110, 8267.T:1988, 6702.T:695"
2024-09-18,14986041,8051592,6934449,3,"3382.T:1110, 8267.T:1988, 6702.T:695"
2024-09-19,15039641,8051592,6988049,3,"3382.T:1110, 8267.T:1988, 6702.T:695"
2024-09-20,14992141,8051592,6940548,3,"3382.T:1110, 8267.T:1988, 6702.T:695"
2024-09-24,14952677,6643290,8309387,4,"3382.T:1110, 8267.T:1988, 6702.T:695, 8058.T:500"
2024-09-25,14915343,6643290,8272053,4,"3382.T:1110, 8267.T:1988, 6702.T:695, 8058.T:500"
2024-09-26,15079473,5937484,9141989,5,"3382.T:1110, 8267.T:1988, 6702.T:695, 8058.T:500, 6861.T:10"
2024-09-27,15205758,5937484,9268273,5,"3382.T:1110, 8267.T:1988, 6702.T:695, 8058.T:500, 6861.T:10"
2024-09-30,14940545,5937484,9003061,5,"3382.T:1110, 8267.T:1988, 6702.T:695, 8058.T:500, 6861.T:10"
2024-10-01,15085803,5937484,9148318,5,"3382.T:1110, 8267.T:1988, 6702.T:695, 8058.T:500, 6861.T:10"
2024-10-02,14997016,5937484,9059531,5,"3382.T:1110, 8267.T:1988, 6702.T:695, 8058.T:500, 6861.T:10"
